MazeID,StepSize,SideLength,Coordinates
Maze_1,0.5,10,0 5*0.5 5*0.5 5.5*0.5 6*1 6*1.5 6*2 6*2.5 6*3 6*3.5 6*3.5 5.5*4 5.5*4 5*4.5 5*5 5*5 5.5*5.5 5.5*5.5 5*6 5*6 5.5*6 6*5.5 6*5 6*4.5 6*4.5 6.5*5 6.5*5 7*4.5 7*4 7*3.5 7*3.5 6.5*3 6.5*2.5 6.5*2.5 7*2.5 7.5*2.5 8*2.5 8.5*2.5 9*2 9*2 8.5*2 8*2 7.5*2 7*2 6.5*1.5 6.5*1.5 7*1.5 7.5*1.5 8*1.5 8.5*1 8.5*1 8*1 7.5*0.5 7.5*0.5 8*0.5 8.5*0.5 9*0.5 9.5*1 9.5*1.5 9.5*2 9.5*2.5 9.5*3 9.5*3.5 9.5*3.5 9*3.5 8.5*3.5 8*4 8*4 8.5*4.5 8.5*4.5 9*5 9*5 9.5*5.5 9.5*5.5 9*5.5 8.5*6 8.5*6.5 8.5*6.5 9*6.5 9.5*7 9.5*7.5 9.5*7.5 9*8 9*8 8.5*8 8*8 7.5*7.5 7.5*7.5 8*7.5 8.5*7 8.5*7 8*7 7.5*6.5 7.5*6 7.5*6 7*5.5 7*5.5 6.5*6 6.5*6.5 6.5*6.5 6*7 6*7.5 6*7.5 6.5*8 6.5*8 7*8.5 7*8.5 7.5*9 7.5*9 7*9.5 7*9.5 6.5*9.5 6*9 6*9 5.5*9 5*8.5 5*8 5*8 5.5*7.5 5.5*7.5 5*7.5 4.5*7 4.5*7 4*7 3.5*7.5 3.5*7.5 4*8 4*8 3.5*8 3*8 2.5*8.5 2.5*9 2.5*9 3*9 3.5*8.5 3.5*8.5 4*9 4*9 4.5*9.5 4.5*9.5 5*10 5
Maze_2,0.5,10,0 5*0.5 5*0.5 5.5*0.5 6*0.5 6.5*1 6.5*1 6*1.5 6*1.5 6.5*2 6.5*2 6*2 5.5*2.5 5.5*2.5 6*2.5 6.5*2.5 7*2.5 7.5*3 7.5*3.5 7.5*3.5 7*3.5 6.5*4 6.5*4.5 6.5*4.5 6*4.5 5.5*4 5.5*3.5 5.5*3.5 5*3 5*3 4.5*3 4*3.5 4*4 4*4 3.5*4.5 3.5*4.5 4*5 4*5 3.5*5.5 3.5*6 3.5*6 3*6.5 3*6.5 2.5*7 2.5*7 3*7.5 3*7.5 3.5*7 3.5*6.5 3.5*6.5 4*6.5 4.5*7 4.5*7 5*7 5.5*7.5 5.5*8 5.5*8 6*7.5 6*7.5 6.5*7.5 7*8 7*8.5 7*8.5 6.5*8.5 6*8.5 5.5*8.5 5*9 5*9 5.5*9 6*9 6.5*9.5 6.5*9.5 6*9.5 5.5*9.5 5*10 5
Maze_3,0.5,10,0 5*0.5 5*0.5 4.5*0.5 4*0.5 3.5*1 3.5*1 4*1 4.5*1.5 4.5*1.5 5*2 5*2 4.5*2.5 4.5*2.5 4*2 4*2 3.5*2.5 3.5*3 3.5*3 4*3.5 4*3.5 4.5*3.5 5*3.5 5.5*4 5.5*4 6*4 6.5*4.5 6.5*5 6.5*5 6*5 5.5*5.5 5.5*6 5.5*6 5*6 4.5*6.5 4.5*7 4.5*7.5 4.5*7.5 5*7.5 5.5*7 5.5*7 5*6.5 5*6.5 5.5*6.5 6*7 6*7 6.5*7.5 6.5*8 6.5*8 6*8 5.5*8.5 5.5*9 5.5*9 6*9 6.5*9.5 6.5*9.5 6*9.5 5.5*9.5 5*10 5
Maze_4,0.5,10,0 5*0.5 5*1 5*1 4.5*1 4*1 3.5*1.5 3.5*1.5 4*2 4*2 3.5*2.5 3.5*2.5 4*2.5 4.5*3 4.5*3 4*3 3.5*3.5 3.5*3.5 4*3.5 4.5*4 4.5*4 5*4.5 5*4.5 4.5*5 4.5*5.5 4.5*5.5 4*5.5 3.5*5.5 3*6 3*6.5 3*6.5 2.5*6 2.5*6 2*5.5 2*5 2*5 2.5*5 3*4.5 3*4.5 3.5*4.5 4*4 4*4 3.5*4 3*3.5 3*3.5 2.5*3.5 2*3.5 1.5*3.5 1*4 1*4 1.5*4 2*4 2.5*4.5 2.5*4.5 2*4.5 1.5*4.5 1*4.5 0.5*5 0.5*5.5 0.5*6 0.5*6.5 0.5*7 0.5*7.5 0.5*8 0.5*8.5 0.5*8.5 1*8.5 1.5*8.5 2*8.5 2.5*9 2.5*9 3*9 3.5*9 4*9 4.5*9 5*8.5 5*8.5 5.5*9 5.5*9.5 5.5*9.5 5*10 5
Maze_5,0.5,12,0 6*0.5 6*1 6*1 5.5*1 5*1 4.5*1.5 4.5*1.5 4*2 4*2 3.5*2.5 3.5*2.5 3*3 3*3 3.5*3.5 3.5*3.5 3*4 3*4 3.5*4 4*4 4.5*4.5 4.5*4.5 5*4 5*4 5.5*4 6*4 6.5*4.5 6.5*4.5 6*5 6*5.5 6*6 6*6 6.5*6.5 6.5*6.5 6*7 6*7 6.5*7.5 6.5*7.5 6*7.5 5.5*7 5.5*7 5*7 4.5*7.5 4.5*8 4.5*8 5*8.5 5*8.5 4.5*8.5 4*8.5 3.5*9 3.5*9.5 3.5*9.5 4*9.5 4.5*9.5 5*9.5 5.5*9.5 6*10 6*10.5 6*10.5 6.5*10.5 7*10 7*10 7.5*10 8*10.5 8*10.5 7.5*11 7.5*11.5 7.5*11.5 7*11 7*11 6.5*11 6*11 5.5*11 5*11.5 5*11.5 5.5*11.5 6*12 6
Maze_6,0.5,12,0 6*0.5 6*0.5 5.5*0.5 5*0.5 4.5*1 4.5*1.5 4.5*2 4.5*2.5 4.5*2.5 4*3 4*3 3.5*3 3*3 2.5*3 2*3.5 2*4 2*4 2.5*4 3*3.5 3*3.5 3.5*3.5 4*4 4*4 3.5*4.5 3.5*4.5 3*5 3*5 2.5*5 2*5.5 2*5.5 2.5*5.5 3*6 3*6.5 3*6.5 2.5*7 2.5*7 2*6.5 2*6 2*6 1.5*6 1*6 0.5*6.5 0.5*7 0.5*7.5 0.5*7.5 1*8 1*8 1.5*8 2*8.5 2*8.5 1.5*8.5 1*8.5 0.5*9 0.5*9 1*9 1.5*9.5 1.5*10 1.5*10.5 1.5*10.5 1*10 1*10 0.5*10.5 0.5*11 0.5*11 1*11 1.5*11 2*10.5 2*10.5 2.5*11 2.5*11 3*11.5 3*11.5 3.5*11.5 4*11.5 4.5*11 4.5*11 4*11 3.5*10.5 3.5*10.5 3*10 3*10 3.5*10 4*10 4.5*9.5 4.5*9.5 4*9 4*8.5 4*8 4*8 3.5*7.5 3.5*7.5 4*7 4*7 4.5*7 5*6.5 5*6.5 5.5*6.5 6*6.5 6.5*7 6.5*7.5 6.5*7.5 6*7.5 5.5*7.5 5*8 5*8.5 5*8.5 5.5*9 5.5*9 5*9.5 5*10 5*10 5.5*10 6*10.5 6*10.5 6.5*11 6.5*11 6*11 5.5*11.5 5.5*11.5 6*12 6
Maze_7,0.5,12,0 6*0.5 6*1 6*1 6.5*1 7*0.5 7*0.5 7.5*0.5 8*0.5 8.5*0.5 9*0.5 9.5*0.5 10*1 10*1.5 10*2 10*2 10.5*2.5 10.5*2.5 11*2.5 11.5*3 11.5*3 11*3 10.5*3.5 10.5*4 10.5*4.5 10.5*5 10.5*5.5 10.5*5.5 10*6 10*6 10.5*6 11*6 11.5*6.5 11.5*6.5 11*7 11*7.5 11*7.5 10.5*7 10.5*7 10*7 9.5*7 9*7 8.5*6.5 8.5*6.5 9*6.5 9.5*6 9.5*5.5 9.5*5 9.5*5 10*4.5 10*4.5 9.5*4.5 9*5 9*5 8.5*5.5 8.5*5.5 9*6 9*6 8.5*6 8*6 7.5*6 7*6.5 7*7 7*7.5 7*7.5 6.5*7.5 6*8 6*8 6.5*8.5 6.5*8.5 7*8.5 7.5*8.5 8*8.5 8.5*9 8.5*9 9*8.5 9*8.5 9.5*9 9.5*9 10*9 10.5*9 11*9 11.5*9.5 11.5*10 11.5*10.5 11.5*11 11.5*11 11*11 10.5*11.5 10.5*11.5 10*11 10*11 9.5*10.5 9.5*10.5 9*11 9*11.5 9*11.5 8.5*11 8.5*11 8*10.5 8*10.5 8.5*10 8.5*9.5 8.5*9.5 8*10 8*10 7.5*9.5 7.5*9.5 7*10 7*10 6.5*10.5 6.5*11 6.5*11.5 6.5*11.5 6*12 6
Maze_8,0.5,12,0 6*0.5 6*0.5 5.5*1 5.5*1 5*1.5 5*2 5*2 5.5*2.5 5.5*2.5 6*3 6*3 5.5*3 5*3.5 5*3.5 5.5*3.5 6*3.5 6.5*4 6.5*4 7*4.5 7*4.5 6.5*4.5 6*5 6*5.5 6*6 6*6 6.5*6.5 6.5*7 6.5*7 7*7 7.5*7 8*7 8.5*7.5 8.5*8 8.5*8 8*8 7.5*8 7*8 6.5*8.5 6.5*8.5 6*8 6*7.5 6*7.5 5.5*7 5.5*7 5*7 4.5*7 4*7.5 4*8 4*8.5 4*9 4*9.5 4*9.5 4.5*9.5 5*9.5 5.5*10 5.5*10 5*10.5 5*10.5 5.5*11 5.5*11 5*11.5 5*11.5 5.5*11.5 6*12 6
Maze_9,0.5,14,0 7*0.5 7*0.5 6.5*1 6.5*1 6*1.5 6*2 6*2.5 6*2.5 5.5*3 5.5*3 5*3 4.5*3 4*3.5 4*3.5 4.5*3.5 5*3.5 5.5*3.5 6*3.5 6.5*3.5 7*3.5 7.5*3.5 8*3 8*3 8.5*3.5 8.5*4 8.5*4 9*4.5 9*4.5 9.5*4.5 10*4.5 10.5*5 10.5*5 11*5.5 11*6 11*6 10.5*6 10*5.5 10*5.5 9.5*5.5 9*5 9*5 8.5*5 8*5.5 8*5.5 7.5*5.5 7*5 7*5 7.5*4.5 7.5*4.5 7*4.5 6.5*4.5 6*5 6*5.5 6*5.5 5.5*5.5 5*6 5*6 5.5*6 6*6 6.5*6 7*6 7.5*6 8*6 8.5*6.5 8.5*6.5 9*6.5 9.5*7 9.5*7 10*7 10.5*7.5 10.5*7.5 10*7.5 9.5*8 9.5*8.5 9.5*8.5 10*9 10*9.5 10*9.5 9.5*9.5 9*10 9*10 9.5*10 10*10.5 10*11 10*11 10.5*11 11*11 11.5*11.5 11.5*11.5 11*12 11*12.5 11*12.5 11.5*12 11.5*12 12*12 12.5*12.5 12.5*12.5 13*12.5 13.5*13 13.5*13 13*13 12.5*13 12*13.5 12*13.5 11.5*13.5 11*13.5 10.5*13.5 10*13.5 9.5*13.5 9*13.5 8.5*13 8.5*13 9*13 9.5*12.5 9.5*12 9.5*12 9*12.5 9*12.5 8.5*12.5 8*12.5 7.5*12.5 7*12 7*12 6.5*12 6*11.5 6*11.5 6.5*11 6.5*10.5 6.5*10.5 6*11 6*11 5.5*11.5 5.5*11.5 5*12 5*12.5 5*12.5 5.5*12.5 6*13 6*13 5.5*13.5 5.5*13.5 6*13.5 6.5*13 6.5*13 7*13.5 7*14 7
Maze_10,0.5,14,0 7*0.5 7*0.5 6.5*0.5 6*0.5 5.5*1 5.5*1.5 5.5*1.5 5*2 5*2 4.5*2.5 4.5*2.5 4*3 4*3.5 4*3.5 4.5*3.5 5*4 5*4 5.5*4.5 5.5*5 5.5*5.5 5.5*6 5.5*6 6*6 6.5*6.5 6.5*6.5 7*7 7*7 6.5*7 6*7 5.5*7 5*7 4.5*7.5 4.5*7.5 4*7.5 3.5*7.5 3*7.5 2.5*7.5 2*7.5 1.5*7.5 1*7 1*7 0.5*7.5 0.5*8 0.5*8.5 0.5*9 0.5*9 1*8.5 1*8 1*8 1.5*8 2*8.5 2*8.5 1.5*9 1.5*9.5 1.5*9.5 2*10 2*10 1.5*10 1*10 0.5*10.5 0.5*11 0.5*11 1*11 1.5*11 2*10.5 2*10.5 2.5*10 2.5*10 3*9.5 3*9.5 3.5*9.5 4*10 4*10 4.5*10 5*10.5 5*10.5 4.5*10.5 4*10.5 3.5*10.5 3*11 3*11 3.5*11.5 3.5*11.5 3*12 3*12 3.5*12 4*11.5 4*11.5 4.5*11.5 5*12 5*12 4.5*12.5 4.5*12.5 5*13 5*13 5.5*13 6*13.5 6*13.5 6.5*13.5 7*14 7
